Ticker,Shares,Principal,Weights
AAPL,0.251435,$119.28 ,0.08121
ABNB,0.993166,$156.67 ,0.10667
AI,1.06,$99.31 ,0.06762
AMC,6.138895,$100.00 ,0.06809
AN,1,$68.00 ,0.0463
ARKF,1,$53.80 ,0.03663
CDE,4,$44.96 ,0.03061
FCX,2,$72.32 ,0.04924
HL,4,$23.61 ,0.01608
JMIA,1.07692,$40.00 ,0.02723
MCFE,3,$75.39 ,0.05133
MGNI,2,$63.26 ,0.04307
NIO,2.374079,$50.00 ,0.03404
PEP,1,$141.46 ,0.09632
PLTR,27.27,$50.00 ,0.03404
PLUG,1.26362344,$80.00 ,0.05447
PYPL,0.459865,$100.00 ,0.06809
SFIX,1,$54.00 ,0.03677
SNDL,2,$6.62 ,0.00451
UPST,2,$59.20 ,0.04031
ZNGA,1,$10.84 ,0.00738
,,"$1,468.72 ",
