Date,Open,High,Low,Close,Volume
2/4/2019 16:00:00,20.16,20.41,20.16,20.35,57925
2/5/2019 16:00:00,20.48,20.61,20.43,20.53,110731
2/6/2019 16:00:00,20.52,20.53,20.31,20.47,45291
2/7/2019 16:00:00,20.29,20.32,20,20.17,58199
2/8/2019 16:00:00,20,20.21,19.95,20.19,18856
2/11/2019 16:00:00,20.37,20.44,20.26,20.28,88362
2/12/2019 16:00:00,20.43,20.58,20.4,20.58,24894
2/13/2019 16:00:00,20.61,20.71,20.57,20.57,23961
2/14/2019 16:00:00,20.48,20.62,20.4,20.58,13867
2/15/2019 16:00:00,20.66,20.66,20.54,20.62,11848
2/19/2019 16:00:00,20.62,20.83,20.62,20.77,98283
2/20/2019 16:00:00,20.75,20.81,20.6,20.61,9384
2/21/2019 16:00:00,20.62,20.62,20.45,20.5,10032
2/22/2019 16:00:00,20.78,21.06,20.78,21.06,61966
2/25/2019 16:00:00,21.3,21.4,21.2,21.21,54430
2/26/2019 16:00:00,21.16,21.16,20.97,21.09,31448
2/27/2019 16:00:00,20.98,21.24,20.93,21.22,25560
2/28/2019 16:00:00,21.08,21.29,21.05,21.21,51693
3/1/2019 16:00:00,21.39,21.39,21.11,21.21,29523
3/4/2019 16:00:00,21.32,21.34,20.75,20.95,21197
3/5/2019 16:00:00,21,21.15,20.87,21.09,9405
3/6/2019 16:00:00,21.15,21.15,20.93,20.95,17625
3/7/2019 16:00:00,20.94,20.94,20.6,20.65,22747
3/8/2019 16:00:00,20.32,20.54,20.16,20.54,26097
3/11/2019 16:00:00,20.89,21.12,20.89,21.09,9887
3/12/2019 16:00:00,21.1,21.19,21.04,21.13,22923
3/13/2019 16:00:00,21.21,21.41,21.21,21.32,18991
3/14/2019 16:00:00,21.22,21.3,21.22,21.24,30545
3/15/2019 16:00:00,21.29,21.41,21.27,21.33,13299
3/18/2019 16:00:00,21.5,21.58,21.37,21.5,72371
3/19/2019 16:00:00,21.57,21.6,21.45,21.52,66114
3/20/2019 16:00:00,21.5,21.56,21.21,21.43,31815
3/21/2019 16:00:00,21.29,21.76,21.26,21.74,24349
3/22/2019 16:00:00,21.64,21.67,21.16,21.17,32027
3/25/2019 16:00:00,21.1,21.21,20.97,21.14,24477
3/26/2019 16:00:00,21.39,21.44,21.18,21.27,19425
3/27/2019 16:00:00,21.35,21.37,21,21.18,36631
3/28/2019 16:00:00,21.28,21.4,21.18,21.36,28642
3/29/2019 16:00:00,21.46,21.58,21.45,21.56,24737
4/1/2019 16:00:00,21.68,21.84,21.61,21.84,29682
4/2/2019 16:00:00,21.85,21.85,21.73,21.81,32315
4/3/2019 16:00:00,22.02,22.2,22.02,22.06,26320
4/4/2019 16:00:00,22.08,22.08,21.78,21.89,22460
4/5/2019 16:00:00,22.06,22.17,22.06,22.13,23852
4/8/2019 16:00:00,22.15,22.24,22.04,22.23,27822
4/9/2019 16:00:00,22.24,22.26,22.12,22.12,17349
4/10/2019 16:00:00,22.18,22.29,22.16,22.29,14522
4/11/2019 16:00:00,22.22,22.22,22.13,22.14,20966
4/12/2019 16:00:00,22.32,22.44,22.2,22.29,35005
4/15/2019 16:00:00,22.3,22.32,22.15,22.23,21237
4/16/2019 16:00:00,22.37,22.42,22.3,22.37,38586
4/17/2019 16:00:00,22.53,22.63,22.29,22.35,15382
4/18/2019 16:00:00,22.33,22.33,22.09,22.26,14953
4/22/2019 16:00:00,22.19,22.4,22.19,22.4,14130
4/23/2019 16:00:00,22.41,22.67,22.41,22.63,22870
4/24/2019 16:00:00,22.69,22.76,22.56,22.56,31767
4/25/2019 16:00:00,22.5,22.55,22.34,22.51,23750
4/26/2019 16:00:00,22.53,22.6,22.38,22.58,19223
4/29/2019 16:00:00,22.62,22.73,22.62,22.66,18192
4/30/2019 16:00:00,22.67,22.7,22.55,22.66,39252
5/1/2019 16:00:00,22.82,22.92,22.62,22.65,39694
5/2/2019 16:00:00,22.5,22.5,22.17,22.37,34148
5/3/2019 16:00:00,22.56,22.81,22.48,22.81,45068
5/6/2019 16:00:00,22.22,22.74,22.1,22.71,50301
5/7/2019 16:00:00,22.58,22.59,22.06,22.23,48334
5/8/2019 16:00:00,22.31,22.49,22.27,22.37,32300
5/9/2019 16:00:00,22.01,22.27,21.77,22.22,31895
5/10/2019 16:00:00,22.27,22.35,21.96,22.28,19739
5/13/2019 16:00:00,21.74,21.74,21.42,21.42,37261
5/14/2019 16:00:00,21.61,21.94,21.55,21.85,18822
5/15/2019 16:00:00,21.75,22.1,21.68,22.06,63508
5/16/2019 16:00:00,22.11,22.48,22.11,22.32,46159
5/17/2019 16:00:00,21.97,22.13,21.87,21.87,22528
5/20/2019 16:00:00,21.58,21.69,21.46,21.55,54580
5/21/2019 16:00:00,21.73,21.84,21.73,21.8,11287
5/22/2019 16:00:00,21.76,21.9,21.73,21.76,15202
5/23/2019 16:00:00,21.46,21.46,21.16,21.25,27145
5/24/2019 16:00:00,21.57,21.57,21.32,21.42,24355
5/28/2019 16:00:00,21.52,21.69,21.42,21.48,11764
5/29/2019 16:00:00,21.3,21.35,21.14,21.2,11642
5/30/2019 16:00:00,21.22,21.33,21.17,21.29,19660
5/31/2019 16:00:00,21.05,21.15,20.98,21.04,16752
6/3/2019 16:00:00,21.01,21.09,20.56,20.66,48427
6/4/2019 16:00:00,20.76,21.1,20.69,21.1,23309
6/5/2019 16:00:00,21.31,21.42,21.09,21.37,18018
6/6/2019 16:00:00,21.37,21.55,21.31,21.55,6472
6/7/2019 16:00:00,21.62,21.94,21.62,21.84,15164
6/10/2019 16:00:00,22.07,22.33,22.07,22.07,15215
6/11/2019 16:00:00,22.35,22.36,21.98,22.1,9790
6/12/2019 16:00:00,21.98,22.02,21.94,21.99,15969
6/13/2019 16:00:00,22.06,22.1,22.04,22.09,5907
6/14/2019 16:00:00,22,22,21.87,21.94,12375
6/17/2019 16:00:00,22.03,22.13,22,22.08,8839
6/18/2019 16:00:00,22.32,22.55,22.16,22.36,32486
6/19/2019 16:00:00,22.38,22.52,22.3,22.51,14910
6/20/2019 16:00:00,22.84,22.91,22.65,22.79,13796
6/21/2019 16:00:00,22.71,22.75,22.61,22.62,21671
6/24/2019 16:00:00,22.64,22.66,22.5,22.53,18218
6/25/2019 16:00:00,22.48,22.48,22.07,22.07,16852
6/26/2019 16:00:00,22.22,22.37,22.21,22.21,6393
6/27/2019 16:00:00,22.37,22.52,22.37,22.51,12783
6/28/2019 16:00:00,22.54,22.65,22.47,22.65,8800
7/1/2019 16:00:00,23.03,23.11,22.83,22.87,25362
7/2/2019 16:00:00,22.82,22.89,22.78,22.89,13118
7/3/2019 13:00:00,22.9,22.99,22.86,22.99,6766
7/5/2019 16:00:00,22.88,22.98,22.72,22.94,20331
7/8/2019 16:00:00,22.81,22.81,22.71,22.77,16370
7/9/2019 16:00:00,22.63,23.08,22.63,23.07,26542
7/10/2019 16:00:00,23.13,23.26,23.13,23.14,9252
7/11/2019 16:00:00,23.22,23.27,23.15,23.21,14276
7/12/2019 16:00:00,23.22,23.3,23.15,23.28,14979
7/15/2019 16:00:00,23.33,23.36,23.28,23.35,18299
7/16/2019 16:00:00,23.37,23.37,23.17,23.18,18068
7/17/2019 16:00:00,23.14,23.26,23.11,23.11,10319
7/18/2019 16:00:00,23.03,23.17,23.01,23.15,10892
7/19/2019 16:00:00,23.36,23.36,23.01,23.01,17989
7/22/2019 16:00:00,23.04,23.16,23.04,23.07,10558
7/23/2019 16:00:00,23.12,23.27,23.08,23.27,10535
7/24/2019 16:00:00,23.21,23.41,23.18,23.41,9136
7/25/2019 16:00:00,23.3,23.3,23.13,23.18,19454
7/26/2019 16:00:00,23.28,23.41,23.28,23.38,15239
7/29/2019 16:00:00,23.36,23.38,23.03,23.17,12885
7/30/2019 16:00:00,23.02,23.11,22.95,23.01,10302
7/31/2019 16:00:00,23.02,23.12,22.67,22.87,12543
8/1/2019 16:00:00,23.02,23.4,22.7,22.8,9937
8/2/2019 16:00:00,22.46,22.46,21.97,22.14,29733
8/5/2019 16:00:00,21.54,21.54,20.97,21.17,30876
8/6/2019 16:00:00,21.47,21.47,21.2,21.4,15833
8/7/2019 16:00:00,21.19,21.59,21.12,21.58,12614
8/8/2019 16:00:00,21.62,21.79,21.45,21.78,33758
8/9/2019 16:00:00,21.75,21.79,21.46,21.57,8495
8/12/2019 16:00:00,21.36,21.36,21.08,21.14,15560
8/13/2019 16:00:00,21.12,21.55,21.08,21.48,12841
8/14/2019 16:00:00,21.05,21.08,20.74,20.85,17692
8/15/2019 16:00:00,20.95,20.96,20.75,20.91,12519
8/16/2019 16:00:00,21.12,21.29,21.12,21.29,9475
8/19/2019 16:00:00,21.64,21.64,21.56,21.63,12154
8/20/2019 16:00:00,21.63,21.71,21.58,21.59,7721
8/21/2019 16:00:00,21.87,21.97,21.83,21.92,14125
8/22/2019 16:00:00,21.94,21.94,21.65,21.77,12066
8/23/2019 16:00:00,21.77,21.94,21.27,21.27,13672
8/26/2019 16:00:00,21.53,21.68,21.51,21.59,10919
8/27/2019 16:00:00,21.66,21.67,21.31,21.42,8279
8/28/2019 16:00:00,21.12,21.37,21.12,21.33,22331
8/29/2019 16:00:00,21.57,21.71,21.52,21.66,8604
8/30/2019 16:00:00,21.78,21.78,21.51,21.63,6752
9/3/2019 16:00:00,21.58,21.69,21.45,21.52,7742
9/4/2019 16:00:00,21.69,21.75,21.68,21.75,6367
9/5/2019 16:00:00,21.98,22.12,21.96,22.07,21464
9/6/2019 16:00:00,22.05,22.17,22.03,22.03,9588
9/9/2019 16:00:00,22.13,22.13,21.71,21.82,11373
9/10/2019 16:00:00,21.55,21.76,21.53,21.76,11854
9/11/2019 16:00:00,21.87,22.03,21.84,22.03,9506
9/12/2019 16:00:00,22.15,22.22,22.04,22.06,7817
9/13/2019 16:00:00,22.1,22.1,22,22.03,15007
9/16/2019 16:00:00,21.83,22.02,21.83,21.97,7451
9/17/2019 16:00:00,22.02,22.1,21.98,22.09,4700
9/18/2019 16:00:00,22.05,22.05,21.85,22.04,7617
9/19/2019 16:00:00,22,22.13,21.9,21.94,6023
9/20/2019 16:00:00,21.99,22,21.77,21.85,7690
9/23/2019 16:00:00,21.75,21.76,21.64,21.71,14052
9/24/2019 16:00:00,21.75,21.75,21.28,21.31,33067
9/25/2019 16:00:00,21.28,21.63,21.17,21.6,16683
9/26/2019 16:00:00,21.69,21.71,21.59,21.67,6084
9/27/2019 16:00:00,21.7,21.73,21.22,21.3,7701
9/30/2019 16:00:00,21.36,21.52,21.34,21.49,4618
10/1/2019 16:00:00,21.53,21.6,21.33,21.33,8817
10/2/2019 16:00:00,21.16,21.16,20.83,20.95,28473
10/3/2019 16:00:00,21.06,21.32,20.91,21.31,7868
10/4/2019 16:00:00,21.37,21.58,21.32,21.58,4849
10/7/2019 16:00:00,21.54,21.61,21.49,21.5,5578
10/8/2019 16:00:00,21.3,21.3,21.06,21.06,7786
10/9/2019 16:00:00,21.26,21.33,21.26,21.3,5550
10/10/2019 16:00:00,21.33,21.51,21.32,21.43,3976
10/11/2019 16:00:00,21.66,21.86,21.66,21.72,10641
10/14/2019 16:00:00,21.66,21.72,21.65,21.71,7190
10/15/2019 16:00:00,21.75,22.1,21.75,22.07,12865
10/16/2019 16:00:00,21.76,21.83,21.76,21.8,5085
10/17/2019 16:00:00,21.98,21.98,21.89,21.91,6867
10/18/2019 16:00:00,21.84,21.84,21.5,21.59,9986
10/21/2019 16:00:00,21.77,21.98,21.77,21.96,11491
10/22/2019 16:00:00,21.93,21.95,21.6,21.6,4978
10/23/2019 16:00:00,21.49,21.67,21.49,21.6,7456
10/24/2019 16:00:00,21.7,22,21.7,22,3955
10/25/2019 16:00:00,22,22.24,22,22.23,11948
10/28/2019 16:00:00,22.32,22.54,22.32,22.49,7846
10/29/2019 16:00:00,22.4,22.41,22.28,22.29,3349
10/30/2019 16:00:00,22.19,22.34,22.15,22.34,10869
10/31/2019 16:00:00,22.27,22.27,22.11,22.23,5145
11/1/2019 16:00:00,22.39,22.49,22.38,22.48,11043
11/4/2019 16:00:00,22.73,22.73,22.58,22.65,11294
11/5/2019 16:00:00,22.63,22.63,22.45,22.48,7240
11/6/2019 16:00:00,22.5,22.55,22.49,22.54,13232
11/7/2019 16:00:00,22.5,22.55,22.49,22.54,13232
11/8/2019 16:00:00,22.8,22.89,22.79,22.89,5959
11/11/2019 16:00:00,22.67,22.91,22.67,22.89,5518
11/12/2019 16:00:00,22.98,23,22.8,22.88,8814
11/13/2019 16:00:00,22.85,23.11,22.85,23.11,92898
11/14/2019 16:00:00,23.07,23.13,23.06,23.11,6416
11/15/2019 16:00:00,23.12,23.21,23.1,23.21,6424
11/18/2019 16:00:00,23.25,23.31,23.15,23.26,6761
11/19/2019 16:00:00,23.42,23.43,23.2,23.29,15155
11/20/2019 16:00:00,23.14,23.37,23.08,23.26,19108
11/21/2019 16:00:00,23.26,23.32,23.21,23.27,6892
11/22/2019 16:00:00,23.43,23.49,23.3,23.48,11707
11/25/2019 16:00:00,23.64,23.88,23.64,23.86,56236
11/26/2019 16:00:00,23.85,23.95,23.82,23.95,67252
11/27/2019 16:00:00,23.99,24.01,23.9,24,11338
11/29/2019 13:00:00,23.92,23.94,23.88,23.9,4520
12/2/2019 16:00:00,23.9,23.9,23.43,23.6,6977
12/3/2019 16:00:00,23.19,23.55,23.09,23.51,20412
12/4/2019 16:00:00,23.6,23.69,23.59,23.59,9635
12/5/2019 16:00:00,23.62,23.68,23.61,23.65,10046
12/6/2019 16:00:00,23.82,23.84,23.78,23.78,14868
12/9/2019 16:00:00,23.68,23.82,23.59,23.59,10415
12/10/2019 16:00:00,23.61,23.61,23.48,23.48,7548
12/11/2019 16:00:00,23.51,23.6,23.41,23.55,8855
12/12/2019 16:00:00,23.61,23.81,23.56,23.69,4439
12/13/2019 16:00:00,23.81,23.81,23.67,23.69,11494
12/16/2019 16:00:00,23.91,24.12,23.91,24.08,9103
12/17/2019 16:00:00,24.17,24.17,24.03,24.1,11796
12/18/2019 16:00:00,24.14,24.24,24.14,24.15,23667
12/19/2019 16:00:00,24.11,24.2,24.11,24.19,16663
12/20/2019 16:00:00,24.25,24.27,24.21,24.21,8311
12/23/2019 16:00:00,24.25,24.31,24.21,24.23,15734
12/24/2019 13:00:00,24.25,24.33,24.21,24.31,10550
12/26/2019 16:00:00,24.37,24.53,24.37,24.49,14421
12/27/2019 16:00:00,24.34,24.34,24.13,24.21,41339
12/30/2019 16:00:00,24.22,24.22,23.87,23.87,22167
12/31/2019 16:00:00,23.89,23.99,23.87,23.98,11560
1/2/2020 16:00:00,24.21,24.57,24.21,24.57,13262
1/3/2020 16:00:00,24.21,24.42,24.15,24.3,21941
1/6/2020 16:00:00,24.21,24.46,24.21,24.46,16869
1/7/2020 16:00:00,24.55,24.74,24.55,24.68,25259
1/8/2020 16:00:00,24.62,24.98,24.62,24.88,25020
1/9/2020 16:00:00,25.1,25.14,24.95,25.11,20314
1/10/2020 16:00:00,25.24,25.32,25.15,25.21,26323
1/13/2020 16:00:00,25.37,25.63,25.33,25.61,51179
1/14/2020 16:00:00,25.53,25.53,25.34,25.42,47878
1/15/2020 16:00:00,25.45,25.71,25.45,25.53,51927
1/16/2020 16:00:00,25.67,25.88,25.62,25.72,57508
1/17/2020 16:00:00,25.85,25.85,25.73,25.79,30056
1/21/2020 16:00:00,25.54,25.65,25.43,25.51,59961
1/22/2020 16:00:00,25.69,25.84,25.57,25.62,16825
1/23/2020 16:00:00,25.47,25.65,25.36,25.61,23556
1/24/2020 16:00:00,25.78,25.9,25.38,25.57,36884
1/27/2020 16:00:00,24.77,25.17,24.65,25,36049
1/28/2020 16:00:00,25.18,25.51,25.1,25.49,31461
1/29/2020 16:00:00,25.73,25.8,25.56,25.68,27316
1/30/2020 16:00:00,25.35,25.66,25.26,25.66,25426
1/31/2020 16:00:00,25.58,25.58,25.19,25.24,17627
2/3/2020 16:00:00,25.4,25.76,25.4,25.69,57569
2/4/2020 16:00:00,26.24,26.5,26.19,26.42,65241
