Date,Open,High,Low,Close,Volume
5/1/2018 16:00:00,32.35,32.89,32.33,32.86,32080
5/2/2018 16:00:00,32.61,32.87,32.55,32.56,14133
5/3/2018 16:00:00,32.03,32.53,31.91,32.45,20206
5/4/2018 16:00:00,32.23,33.15,32.23,33.15,21152
5/7/2018 16:00:00,33.31,33.75,33.18,33.6,26780
5/8/2018 16:00:00,33.56,33.89,33.51,33.87,14998
5/9/2018 16:00:00,34.04,34.42,33.97,34.42,27130
5/10/2018 16:00:00,34.54,34.87,34.54,34.79,16474
5/11/2018 16:00:00,34.77,34.87,34.5,34.58,19660
5/14/2018 16:00:00,34.58,34.91,34.36,34.37,29435
5/15/2018 16:00:00,34.16,34.22,33.88,34.17,17441
5/16/2018 16:00:00,34.12,34.52,34.12,34.46,27176
5/17/2018 16:00:00,34.4,34.73,34.4,34.53,8123
5/18/2018 16:00:00,34.4,34.73,34.4,34.53,124
5/21/2018 16:00:00,34.31,34.52,34.12,34.23,31856
5/22/2018 16:00:00,34.37,34.37,34,34,53543
5/23/2018 16:00:00,33.8,34.12,33.75,34.09,16122
5/24/2018 16:00:00,34.03,34.09,33.9,33.94,20539
5/25/2018 16:00:00,33.92,34.05,33.91,34.02,16423
5/29/2018 16:00:00,33.75,34.06,33.65,33.84,64115
5/30/2018 16:00:00,33.86,34.15,33.86,34.08,119771
5/31/2018 16:00:00,34.03,34.25,33.85,33.99,17796
6/1/2018 16:00:00,34.08,34.5,34.08,34.44,25064
6/4/2018 16:00:00,34.44,34.99,34.44,34.86,38876
6/5/2018 16:00:00,34.96,35.1,34.84,35.05,25996
6/6/2018 16:00:00,35.25,35.77,35.2,35.77,17357
6/7/2018 16:00:00,35.76,35.89,35.2,35.46,37149
6/8/2018 16:00:00,35.57,35.57,35.29,35.47,12316
6/11/2018 16:00:00,35.52,36.24,35.52,36.22,39042
6/12/2018 16:00:00,36.4,36.57,36.19,36.38,20755
6/13/2018 16:00:00,36.5,36.67,36.35,36.39,45189
6/14/2018 16:00:00,36.67,36.82,36.5,36.75,46462
6/15/2018 16:00:00,36.53,36.75,36.37,36.75,19688
6/18/2018 16:00:00,36.47,36.95,36.47,36.95,21741
6/19/2018 16:00:00,36.6,36.6,35.69,36.18,37546
6/20/2018 16:00:00,36.21,36.66,36.21,36.64,22047
6/21/2018 16:00:00,36.81,36.81,35.66,35.68,23928
6/22/2018 16:00:00,35.66,35.66,35.16,35.25,17222
6/25/2018 16:00:00,34.98,34.98,34.11,34.38,43112
6/26/2018 16:00:00,34.49,34.88,34.43,34.78,12292
6/27/2018 16:00:00,34.89,35.03,34.19,34.19,15981
6/28/2018 16:00:00,34.27,34.63,34,34.57,13174
6/29/2018 16:00:00,34.95,34.97,34.64,34.66,12633
7/2/2018 16:00:00,34.61,34.7,34.31,34.68,13960
7/3/2018 13:00:00,34.51,34.66,34.24,34.27,14590
7/5/2018 16:00:00,34.69,34.69,34.15,34.57,14445
7/6/2018 16:00:00,34.34,35.08,34.34,35.08,8855
7/9/2018 16:00:00,35.42,35.7,35.41,35.66,15977
7/10/2018 16:00:00,35.67,35.79,35.41,35.6,12962
7/11/2018 16:00:00,35.32,35.33,35.09,35.22,12008
7/12/2018 16:00:00,35.63,35.69,35.43,35.69,16895
7/13/2018 16:00:00,35.69,35.78,35.47,35.65,23364
7/16/2018 16:00:00,35.71,35.71,35.3,35.48,15841
7/17/2018 16:00:00,35.28,35.99,35.11,35.94,12392
7/18/2018 16:00:00,35.97,36.13,35.84,36.12,33287
7/19/2018 16:00:00,36.13,36.13,35.55,35.95,74660
7/20/2018 16:00:00,35.81,35.99,35.8,35.8,13498
7/23/2018 16:00:00,35.7,35.72,35.17,35.69,120783
7/24/2018 16:00:00,35.86,36.1,35.02,35.11,11220
7/25/2018 16:00:00,35.03,35.96,35.03,35.86,23124
7/26/2018 16:00:00,36.02,36.1,35.67,35.85,13079
7/27/2018 16:00:00,36.17,36.17,34.85,35.22,89133
7/30/2018 16:00:00,35.27,35.27,34.35,34.59,100603
7/31/2018 16:00:00,34.8,35.07,34.67,35.01,17427
8/1/2018 16:00:00,34.84,35.33,34.84,35.19,8270
8/2/2018 16:00:00,35.04,36.24,35.04,36.16,87408
8/3/2018 16:00:00,36.42,36.42,36.03,36.24,72410
8/6/2018 16:00:00,36.33,36.4,36.17,36.26,22569
