Date,Open,High,Low,Close,Volume
5/24/2018 16:00:00,23.47,23.52,23.29,23.5,934188
5/25/2018 16:00:00,23.44,23.5,23.4,23.45,915508
5/29/2018 16:00:00,23.27,23.35,23.15,23.23,1188194
5/30/2018 16:00:00,23.17,23.4,23.17,23.35,631297
5/31/2018 16:00:00,23.34,23.35,23.2,23.24,1084551
6/1/2018 16:00:00,23.25,23.52,23.25,23.46,852876
6/4/2018 16:00:00,23.56,23.65,23.55,23.62,666081
6/5/2018 16:00:00,23.61,23.65,23.54,23.63,756252
6/6/2018 16:00:00,23.46,23.56,23.41,23.55,762614
6/7/2018 16:00:00,23.61,23.63,23.36,23.46,1099641
6/8/2018 16:00:00,23.42,23.51,23.39,23.5,616507
6/11/2018 16:00:00,23.51,23.71,23.51,23.68,879015
6/12/2018 16:00:00,23.64,23.68,23.56,23.6,470010
6/13/2018 16:00:00,23.64,23.64,23.41,23.47,1054365
6/14/2018 16:00:00,23.42,23.47,23.27,23.39,1113897
6/15/2018 16:00:00,23.15,23.2,23.04,23.11,642391
6/18/2018 16:00:00,22.83,22.85,22.73,22.82,1327467
6/19/2018 16:00:00,22.56,22.56,22.36,22.5,1419343
6/20/2018 16:00:00,22.72,22.78,22.68,22.73,775446
6/21/2018 16:00:00,22.84,22.84,22.62,22.67,775778
6/22/2018 16:00:00,22.82,22.87,22.68,22.69,978461
6/25/2018 16:00:00,22.41,22.45,22.03,22.15,1175377
6/26/2018 16:00:00,22.24,22.37,22.18,22.28,748083
6/27/2018 16:00:00,22.2,22.34,21.96,21.96,1181130
6/28/2018 16:00:00,21.9,22.1,21.84,22.06,971978
6/29/2018 16:00:00,22.1,22.17,22,22.01,450531
7/2/2018 16:00:00,21.72,21.94,21.66,21.92,908759
7/3/2018 13:00:00,21.96,22.04,21.89,21.91,497826
7/5/2018 16:00:00,21.57,21.67,21.47,21.67,1357685
7/6/2018 16:00:00,21.75,21.94,21.73,21.89,749420
7/9/2018 16:00:00,22.01,22.11,22,22.11,705396
7/10/2018 16:00:00,22.28,22.4,22.27,22.4,748657
7/11/2018 16:00:00,22.05,22.16,21.95,21.96,731268
7/12/2018 16:00:00,22.07,22.18,22.01,22.18,609800
7/13/2018 16:00:00,22.14,22.2,22.1,22.15,624655
7/16/2018 16:00:00,22.15,22.24,22.11,22.12,642224
7/17/2018 16:00:00,21.71,21.92,21.71,21.91,892692
7/18/2018 16:00:00,21.9,21.97,21.85,21.97,882186
7/19/2018 16:00:00,22.02,22.09,21.97,22.08,615033
7/20/2018 16:00:00,21.98,22.05,21.95,21.96,415910
