Date,Open,High,Low,Close,Volume
6/12/2019 16:00:00,63.7,67,56,58,19449162
6/13/2019 16:00:00,63.86,69.67,61.6,67.56,10923944
6/14/2019 16:00:00,69.78,70.79,63.02,64.16,6264212
6/17/2019 16:00:00,64.75,70.01,62,70.01,3247471
6/18/2019 16:00:00,73,78.7,71.5,76.5,6612626
6/19/2019 16:00:00,78.75,79.79,73.56,77.22,3319070
6/20/2019 16:00:00,78,78.22,70.69,74.85,3429610
6/21/2019 16:00:00,72.46,73.93,68.3,72.23,2657468
6/24/2019 16:00:00,71.05,72.39,65.08,67.97,2448037
6/25/2019 16:00:00,67.1,68.99,61.17,61.52,2482213
6/26/2019 16:00:00,63.3,64.92,62.01,62.65,1625502
6/27/2019 16:00:00,63.39,65,62.57,63.28,914612
6/28/2019 16:00:00,64.36,68.38,63.3,68.29,1474303
7/1/2019 16:00:00,69.1,69.73,61.81,63.2,2675367
7/2/2019 16:00:00,63.3,65.03,61.72,64.52,1738845
7/3/2019 13:00:00,64.68,67.48,64.52,67.24,1564108
7/5/2019 16:00:00,67.15,67.25,64.84,67.21,805222
7/8/2019 16:00:00,68.26,71.71,66.9,66.91,4567154
7/9/2019 16:00:00,67.42,69.2,66.88,68.45,1782694
7/10/2019 16:00:00,70,74.5,69.5,74.34,2719347
7/11/2019 16:00:00,74.5,74.98,70.5,70.88,2351834
7/12/2019 16:00:00,71.6,75.2,70.5,73.5,1838306
7/15/2019 16:00:00,74,74.3,71.4,71.6,1325082
7/16/2019 16:00:00,71.93,73.09,69,69.54,1582319
7/17/2019 16:00:00,70,71.56,69.59,71,1037007
7/18/2019 16:00:00,71,74.19,70.15,72.75,3389964
7/19/2019 16:00:00,85.16,85.85,80.75,83.52,13669036
7/22/2019 16:00:00,82.27,88.5,82.08,87.68,5357744
7/23/2019 16:00:00,88.32,89.44,84.49,86.74,2529779
7/24/2019 16:00:00,86.79,87.85,85.5,87.46,1250712
7/25/2019 16:00:00,87.5,93.34,87,92.28,3270376
7/26/2019 16:00:00,93.04,95.5,91.91,92.88,2053022
7/29/2019 16:00:00,93.69,93.9,82.65,87.23,3317799
7/30/2019 16:00:00,86,96.19,84,94,3127169
7/31/2019 16:00:00,94,94.8,86.82,89.07,2475977
8/1/2019 16:00:00,90.07,94.32,89.44,91.53,2238247
8/2/2019 16:00:00,91.54,92.78,86.91,88.01,1801007
8/5/2019 16:00:00,83.34,86.92,82.25,85.48,2196373
8/6/2019 16:00:00,87.2,89.76,82.71,85.24,1357428
8/7/2019 16:00:00,83.69,86.45,82.8,84.22,990406
8/8/2019 16:00:00,85.49,91.86,85.49,91.65,1692269
8/9/2019 16:00:00,90.25,98,90,94.9,3063879
8/12/2019 16:00:00,94.25,98.2,91.53,93.01,1895649
8/13/2019 16:00:00,92.84,100.5,92.84,99.65,3034908
8/14/2019 16:00:00,96.52,97.73,91.6,94.02,2822881
8/15/2019 16:00:00,95.99,97.14,91.37,93.66,1520342
8/16/2019 16:00:00,95,98.1,93.4,96.05,1530550
8/19/2019 16:00:00,98.8,101.48,95.6,99.39,2801463
8/20/2019 16:00:00,99.23,101.88,97.26,99.16,1439345
8/21/2019 16:00:00,100.59,100.96,96.27,96.58,1805604
8/22/2019 16:00:00,96.29,96.58,92.8,92.97,1767533
8/23/2019 16:00:00,91.37,91.56,86,88.43,3050846
8/26/2019 16:00:00,90.24,90.84,86.13,88.88,1463680
8/27/2019 16:00:00,89.28,89.95,83.23,84.08,1828841
8/28/2019 16:00:00,84,87.52,82.61,86.99,1921251
8/29/2019 16:00:00,88.3,89.35,83.29,83.82,1789971
8/30/2019 16:00:00,84.02,84.94,78.89,81.28,1910152
9/3/2019 16:00:00,80.85,83.8,80.25,83.76,1832813
9/4/2019 16:00:00,85,87.77,82.89,85.31,2412963
9/5/2019 16:00:00,86.25,87.19,82.5,86.85,3971133
9/6/2019 16:00:00,79.7,81.5,75.31,75.98,8672342
9/9/2019 16:00:00,76.11,76.12,64.34,67.1,8598237
9/10/2019 16:00:00,65.7,71.8,65.7,71.65,4672469
9/11/2019 16:00:00,69.21,70.93,67.2,69.11,3113980
9/12/2019 16:00:00,69.68,72.4,69.06,69.66,2923450
9/13/2019 16:00:00,69.86,70.31,64.71,64.86,4166281
9/16/2019 16:00:00,63.71,68.86,63.5,67.86,2804534
9/17/2019 16:00:00,68.64,71.33,68.13,71.04,2820589
9/18/2019 16:00:00,70.12,71.88,68.8,70.85,2003010
9/19/2019 16:00:00,71.5,71.87,67.64,68.93,1690628
9/20/2019 16:00:00,68.95,69.46,66.19,66.97,3374383
9/23/2019 16:00:00,67.12,68.57,66.54,66.91,826629
9/24/2019 16:00:00,67.02,67.37,62,62.52,2615966
9/25/2019 16:00:00,62,63.39,60.11,62.02,2466798
9/26/2019 16:00:00,62.05,62.36,57.66,58.3,2892188
9/27/2019 16:00:00,58.27,58.33,52.84,53.46,4516813
9/30/2019 16:00:00,53.5,58.65,51.61,58.31,4104029
10/1/2019 16:00:00,58.3,59.51,55.65,57.89,2841737
10/2/2019 16:00:00,56.81,57.66,54.07,56.63,1589815
10/3/2019 16:00:00,59.48,62.4,56.75,62.14,5076359
10/4/2019 16:00:00,62,64.46,61.55,63.84,2157446
10/7/2019 16:00:00,63.36,69.7,62.72,68.78,3621793
10/8/2019 16:00:00,67.4,68.43,64.48,65.3,2766793
10/9/2019 16:00:00,66.35,66.43,62.5,63.08,2207773
10/10/2019 16:00:00,62.6,63.61,60.4,61.41,2306927
10/11/2019 16:00:00,58.77,61.48,57.27,60.27,3335811
10/14/2019 16:00:00,55.8,57.85,53.2,54.52,4458071
10/15/2019 16:00:00,55.01,56.41,54.03,55.21,1982381
10/16/2019 16:00:00,53.57,55.77,51.8,52.03,2597819
10/17/2019 16:00:00,51.76,53.15,50.33,50.44,2785744
10/18/2019 16:00:00,50,50.32,46.46,47.04,3675231
10/21/2019 16:00:00,46.93,48.97,46.22,47.4,2411137
10/22/2019 16:00:00,47.25,48.48,44.58,46.2,2707238
10/23/2019 16:00:00,47,50.43,46.03,47.87,3707978
10/24/2019 16:00:00,48.6,52.18,48.11,51.84,2050992
10/25/2019 16:00:00,50.88,52.07,49.41,50.11,1532804
10/28/2019 16:00:00,50.26,51.31,47.71,47.95,2761081
10/29/2019 16:00:00,47.43,48.37,46.21,47.8,1740730
10/30/2019 16:00:00,47.72,52.48,46.78,51.45,2224354
10/31/2019 16:00:00,51.2,51.64,48.1,49.91,1052905
11/1/2019 16:00:00,49.94,50.85,47.75,48.5,1441265
11/4/2019 16:00:00,49.15,50.48,48.01,49.65,1311746
11/5/2019 16:00:00,50.18,50.6,47.77,48.7,1468191
11/6/2019 16:00:00,48.56,48.71,46.9,47.83,1028805
11/7/2019 16:00:00,48.26,48.5,45.38,45.5,1669002
11/8/2019 16:00:00,45.02,47.21,44.8,47.21,1980150
11/11/2019 16:00:00,46.5,47,45.46,46.2,1287808
11/12/2019 16:00:00,47.5,47.85,46.11,47.05,1740792
11/13/2019 16:00:00,46.83,52.44,46.65,52,2868214
11/14/2019 16:00:00,51.31,54.92,50.64,52.73,2834077
11/15/2019 16:00:00,53,59.99,53,59.75,4025799
11/18/2019 16:00:00,60,60,55.52,57.07,2243460
11/19/2019 16:00:00,57.45,57.56,53.76,56,1598494
11/20/2019 16:00:00,55.24,58.31,53.39,54.88,2260907
11/21/2019 16:00:00,55.46,55.46,52.85,53.77,963275
11/22/2019 16:00:00,54.19,55.3,53.75,54.2,1029525
11/25/2019 16:00:00,55.32,56.17,54.86,55.84,1849286
11/26/2019 16:00:00,56.5,58.02,54.26,55.58,1998927
11/27/2019 16:00:00,56.37,56.67,55.23,56.29,986792
11/29/2019 13:00:00,56.96,59.5,56.32,58,1244410
12/2/2019 16:00:00,58.5,58.6,52.54,55.01,2931538
