Date,Open,High,Low,Close,Volume
5/24/2018 16:00:00,55,55.84,54.76,55.55,7574112
5/25/2018 16:00:00,55.84,56.86,55.41,55.77,5509684
5/29/2018 16:00:00,56,57.84,55.89,56.92,10247300
5/30/2018 16:00:00,57.67,58.39,56.92,57.91,9456970
5/31/2018 16:00:00,58,58.9,57.6,58.25,7980874
6/1/2018 16:00:00,58.7,60.26,58.28,59.41,10479585
6/4/2018 16:00:00,60.49,61.49,59.71,61.2,10717891
6/5/2018 16:00:00,61.36,61.93,60.43,61.57,8752797
6/6/2018 16:00:00,61.6,62.83,61.08,62.72,8590945
6/7/2018 16:00:00,62.65,62.77,59.3,60.67,14474633
6/8/2018 16:00:00,60.58,62.04,60.19,61.78,8300920
6/11/2018 16:00:00,61.97,62.46,59.5,61.29,6047975
6/12/2018 16:00:00,61.77,64.08,61.65,63.21,9585627
6/13/2018 16:00:00,62.25,63.86,62.17,62.5,11262030
6/14/2018 16:00:00,63.2,64.85,63.2,63.88,11913140
6/15/2018 16:00:00,63.65,64.6,62.53,64.48,7904386
6/18/2018 16:00:00,64.15,66.44,63.88,66.2,10488276
6/19/2018 16:00:00,65.32,66.1,63.55,65.96,9504451
6/20/2018 16:00:00,66.59,68.97,66.55,67.59,12382528
6/21/2018 16:00:00,68.78,69.4,66.27,67.1,9999482
6/22/2018 16:00:00,68.17,68.17,65.11,65.75,11540481
6/25/2018 16:00:00,64,64.15,60.87,61.89,15115365
6/26/2018 16:00:00,62.03,63.4,61.11,62.55,13168856
6/27/2018 16:00:00,63.85,64.16,59.83,60.09,11139657
6/28/2018 16:00:00,61.02,61.83,59.4,61.55,11836912
6/29/2018 16:00:00,62.3,62.77,61.44,61.64,6764464
7/2/2018 16:00:00,60.47,63.23,60.26,63.14,5427128
7/3/2018 13:00:00,63.32,63.65,61.52,61.75,4234664
7/5/2018 16:00:00,62.55,64.43,62.28,64.15,7670960
7/6/2018 16:00:00,64.6,66.52,63.76,66.44,10443622
7/9/2018 16:00:00,67.3,67.5,64.85,66.48,9067762
7/10/2018 16:00:00,66,66.85,64.41,64.76,9162679
7/11/2018 16:00:00,64.29,65.84,64.12,65.33,5857122
7/12/2018 16:00:00,65.81,67.49,65.7,67.28,8927270
7/13/2018 16:00:00,67.03,67.28,65.5,66.97,7686604
7/16/2018 16:00:00,66.69,68.34,66.69,66.95,5407869
7/17/2018 16:00:00,66.57,68.67,66.37,68.33,6293097
7/18/2018 16:00:00,68.45,68.83,67.42,68.29,4913121
7/19/2018 16:00:00,69.4,71.32,68.85,70.32,11981314
7/20/2018 16:00:00,70.95,72.09,70.17,70.41,9267085
7/23/2018 16:00:00,70.5,72.21,69.65,71.6,7059718
7/24/2018 16:00:00,72.57,72.8,68.2,69.36,12188124
7/25/2018 16:00:00,69.73,72.53,69.63,72.53,8309289
7/26/2018 16:00:00,71.18,72.33,70.11,71.99,6744477
7/27/2018 16:00:00,72.48,73.19,68.76,69.85,8700981
7/30/2018 16:00:00,70.04,70.2,64.21,65.62,13598977
7/31/2018 16:00:00,65.88,66.8,63.21,64.65,10692312
8/1/2018 16:00:00,65.1,67.41,65,66.86,11990436
8/2/2018 16:00:00,65.25,72.82,64.22,72.65,20831930
8/3/2018 16:00:00,72.1,72.43,67.83,68.36,14949028
8/6/2018 16:00:00,69.61,71,68.74,70.92,10876048
8/7/2018 16:00:00,70.89,71.59,69.93,71,6589678
8/8/2018 16:00:00,70.85,71.1,69.55,70.82,5008557
8/9/2018 16:00:00,71.12,71.27,69.3,69.38,6312666
8/10/2018 16:00:00,69.22,72.23,68.9,70.6,13376613
8/13/2018 16:00:00,70.69,74.49,70.6,72.37,13091017
8/14/2018 16:00:00,73.67,75.15,73.48,74.97,10883342
8/15/2018 16:00:00,74.49,75.45,71.45,72.24,13050926
8/16/2018 16:00:00,73.4,73.43,71.6,72.76,8180411
8/17/2018 16:00:00,72.83,73.39,71.8,72.9,5561358
8/20/2018 16:00:00,72.95,74.4,72.01,74.26,7076703
8/21/2018 16:00:00,74.26,76.31,74.26,75.19,8587771
8/22/2018 16:00:00,75.19,76.83,74.75,76.44,6827755
8/23/2018 16:00:00,76.96,78.43,76.66,77.12,7721737
8/24/2018 16:00:00,77.84,78.47,77.45,78.18,7050599
8/27/2018 16:00:00,78.79,79.06,77.26,78.25,8257205
8/28/2018 16:00:00,78.84,81.41,78.62,80.8,11452011
8/29/2018 16:00:00,82.41,86.17,81.44,85.7,22510552
8/30/2018 16:00:00,85.72,89.22,85.5,87.76,20083757
8/31/2018 16:00:00,87.83,89.7,87.38,88.64,11165101
9/4/2018 16:00:00,88.74,91.64,87.76,91.25,13753247
9/5/2018 16:00:00,91.3,91.41,84.34,87.2,18020934
9/6/2018 16:00:00,87.83,89.8,86.7,88.54,12523565
9/7/2018 16:00:00,87.66,91.5,86.55,89.97,10503810
9/10/2018 16:00:00,90.34,90.83,87.79,89.39,10223464
9/11/2018 16:00:00,88.9,92.92,88.7,92.28,12004277
9/12/2018 16:00:00,92.29,92.4,88.4,90.44,12707892
9/13/2018 16:00:00,91.16,92.39,89.43,90.22,9672818
9/14/2018 16:00:00,90.26,91.29,89.31,90.82,7278501
9/17/2018 16:00:00,90.14,91.95,86.51,86.86,10516422
9/18/2018 16:00:00,87.94,89.38,87.06,87.99,10583017
9/19/2018 16:00:00,88.3,88.56,83.33,84.8,13187712
9/20/2018 16:00:00,85.98,87.32,84.82,86.51,9195778
9/21/2018 16:00:00,87.05,87.74,85.16,85.3,10113956
9/24/2018 16:00:00,83.9,87.13,81.53,86.04,8152089
9/25/2018 16:00:00,88.74,96,88.19,95.35,28195216
9/26/2018 16:00:00,97.46,98.47,94.05,94.65,25510945
9/27/2018 16:00:00,94.91,99.13,94.77,97.96,21040352
9/28/2018 16:00:00,97.36,100.39,97.07,99.01,15268212
10/1/2018 16:00:00,100.8,101.15,96.6,97.28,12616925
10/2/2018 16:00:00,97.66,100.42,97.25,97.83,11894954
10/3/2018 16:00:00,98.48,98.7,95.69,96.96,9820557
10/4/2018 16:00:00,96.99,97.06,92.3,94.49,13896305
10/5/2018 16:00:00,94.41,96.31,91.63,94.11,12099821
10/8/2018 16:00:00,92.4,92.64,83.55,86.06,30365080
10/9/2018 16:00:00,83.69,87.66,83,86.17,16738447
10/10/2018 16:00:00,86.74,86.9,76.9,77.45,32581896
10/11/2018 16:00:00,72.36,74.38,65,69.03,63545654
10/12/2018 16:00:00,76.25,76.38,71.52,73.97,38121505
10/15/2018 16:00:00,74.56,75.9,72.75,73.77,22583454
10/16/2018 16:00:00,76.5,79.1,73.86,78.72,23256369
10/17/2018 16:00:00,79.93,80.32,75.91,78.05,16656849
10/18/2018 16:00:00,76.19,77.57,73.6,74.96,15367972
10/19/2018 16:00:00,77.48,78.7,74.01,74.07,16924750
10/22/2018 16:00:00,74.8,76.35,72.28,75.72,15948047
10/23/2018 16:00:00,72.79,74.42,71.55,74.15,16952900
10/24/2018 16:00:00,74.07,75.21,69.1,69.34,15587857
10/25/2018 16:00:00,70.15,74.4,69.5,73.49,13759190
10/26/2018 16:00:00,70.71,73.31,68.9,71.12,16771822
10/29/2018 16:00:00,72.47,73.55,65.37,67.28,20295596
10/30/2018 16:00:00,65.91,68.9,64.49,68.76,17359133
10/31/2018 16:00:00,71.11,74.52,71.04,73.45,17915795
11/1/2018 16:00:00,74.01,77.17,72.5,76.74,13574021
11/2/2018 16:00:00,76.77,79.94,76.32,77.76,13561636
11/5/2018 16:00:00,76.87,76.97,72.22,75.01,16851418
11/6/2018 16:00:00,76.91,79.37,76.27,77.31,18563340
11/7/2018 16:00:00,78.52,83,78.44,82.69,24041889
11/8/2018 16:00:00,79.43,80.6,73.66,75.23,35808891
11/9/2018 16:00:00,73.1,74.6,71.5,73.27,17267065
