Date,Open,High,Low,Close,Volume
5/24/2018 16:00:00,81.35,81.36,79.95,80.27,13360454
5/25/2018 16:00:00,79.28,79.33,78.09,78.71,14561988
5/29/2018 16:00:00,78.15,78.73,77.53,78.42,14644813
5/30/2018 16:00:00,79.25,81.66,79.22,81.5,16627467
5/31/2018 16:00:00,80.81,81.55,80.69,81.24,15803095
6/1/2018 16:00:00,81.87,82.35,81.55,81.83,9906117
6/4/2018 16:00:00,82.05,82.53,80.81,80.97,10954709
6/5/2018 16:00:00,80.59,81.65,80.41,80.68,12059328
6/6/2018 16:00:00,81.48,82.09,80.87,82.06,11603278
6/7/2018 16:00:00,82.73,83.29,82.56,82.88,13502457
6/8/2018 16:00:00,83.11,83.66,82.5,83.6,14350376
6/11/2018 16:00:00,83.72,83.79,82.93,83.1,10831599
6/12/2018 16:00:00,83.11,83.75,82.32,82.42,12351787
6/13/2018 16:00:00,82.44,82.6,81.47,81.51,12049278
6/14/2018 16:00:00,81.94,82.3,81.5,81.89,11477252
6/15/2018 16:00:00,81.72,81.82,80.51,80.66,23797456
6/18/2018 16:00:00,80.4,81.38,80.3,80.82,9192567
6/19/2018 16:00:00,79.89,80.96,79.71,80.7,8759708
6/20/2018 16:00:00,80.85,81.13,80.27,80.45,8917708
6/21/2018 16:00:00,80.02,80.38,79.33,79.69,10990663
6/22/2018 16:00:00,81.16,81.94,80.92,81.38,16707364
6/25/2018 16:00:00,80.78,81.24,79.3,79.74,10557249
6/26/2018 16:00:00,80.15,81.01,79.97,80.64,10382781
6/27/2018 16:00:00,81.06,82.48,81.06,81.71,12725864
6/28/2018 16:00:00,81.73,82.07,81.03,81.97,9390654
6/29/2018 16:00:00,82.45,83.54,82.29,82.73,17323207
7/2/2018 16:00:00,81.89,82.13,81.32,81.76,9998318
7/3/2018 13:00:00,82.58,83.45,82.08,82.24,7197258
7/5/2018 16:00:00,82.59,82.77,82.05,82.31,9035873
7/6/2018 16:00:00,81.96,82.7,81.66,82.33,7637116
7/9/2018 16:00:00,82.81,83.13,82.56,82.9,7158596
7/10/2018 16:00:00,83.7,84.12,83.51,83.66,8806167
7/11/2018 16:00:00,83.03,83.53,82.03,82.59,10405268
7/12/2018 16:00:00,83.01,83.24,82.31,82.69,9762532
7/13/2018 16:00:00,82.68,83.75,82.56,83.31,8721525
7/16/2018 16:00:00,82.52,82.79,82,82.49,8307109
7/17/2018 16:00:00,82.26,82.75,82.04,82.31,7373347
7/18/2018 16:00:00,81.8,82.32,81.49,82.22,8711884
7/19/2018 16:00:00,82.2,82.62,81.72,82.01,8659127
7/20/2018 16:00:00,81.72,81.93,81.25,81.4,9209376
7/23/2018 16:00:00,81.95,82,81.18,81.4,8425921
7/24/2018 16:00:00,81.52,83.02,81.48,83.01,11120967
7/25/2018 16:00:00,83.01,83.74,82.51,83.59,9730668
7/26/2018 16:00:00,83.83,84.4,83.37,84.24,13210099
7/27/2018 16:00:00,80.97,82.38,80.81,81.92,18223602
7/30/2018 16:00:00,82.13,82.13,80.71,81.74,11282875
7/31/2018 16:00:00,81.64,82.15,81.44,81.51,11716849
8/1/2018 16:00:00,80.89,80.93,80.22,80.39,8936719
8/2/2018 16:00:00,79.89,80.26,79.45,79.91,8364294
8/3/2018 16:00:00,79.97,80.3,79.63,80.2,7811180
8/6/2018 16:00:00,80.25,80.43,79.74,80.18,10041825
8/7/2018 16:00:00,80.91,81.59,80.31,81.27,10698498
8/8/2018 16:00:00,81.02,81.23,80.35,80.73,7275062
8/9/2018 16:00:00,80.73,80.91,80.11,80.32,9828499
8/10/2018 16:00:00,79.51,79.52,78.86,79.42,12954268
8/13/2018 16:00:00,79.45,79.75,78.43,78.56,10308844
8/14/2018 16:00:00,78.99,79.07,78.08,78.31,8005941
8/15/2018 16:00:00,77.78,77.9,76.51,76.94,16307784
8/16/2018 16:00:00,77.28,78.1,77.2,78,11519944
8/17/2018 16:00:00,78.34,78.49,77.8,78.26,10178657
8/20/2018 16:00:00,78.26,79,78.17,78.81,8152096
8/21/2018 16:00:00,79.05,79.58,78.67,78.83,9192229
8/22/2018 16:00:00,79.11,80.05,79.02,79.96,10098237
8/23/2018 16:00:00,79.56,79.63,78.9,79.08,7203899
8/24/2018 16:00:00,79.52,80.05,79.42,79.62,6545216
8/27/2018 16:00:00,79.91,80.47,79.86,80.4,6671872
8/28/2018 16:00:00,80.58,80.82,80.2,80.28,8823352
8/29/2018 16:00:00,80.44,81.04,80.1,80.86,8004792
8/30/2018 16:00:00,80.45,80.78,80.12,80.51,7450853
8/31/2018 16:00:00,80.24,80.46,79.77,80.17,10700016
9/4/2018 16:00:00,80.41,80.69,79.81,80.29,8855027
9/5/2018 16:00:00,79.9,81.43,79.6,81.36,13878418
9/6/2018 16:00:00,81.11,81.64,80.34,80.46,13320645
9/7/2018 16:00:00,80.15,81.93,79.82,81.83,16417783
9/10/2018 16:00:00,82.24,82.74,81.66,81.71,10817918
9/11/2018 16:00:00,81.96,83.19,81.63,82.86,11891917
9/12/2018 16:00:00,83.25,83.78,82.87,83.13,11556657
9/13/2018 16:00:00,83.15,83.25,82.01,82.32,11162714
9/14/2018 16:00:00,82.42,83.15,82.27,82.92,9442579
9/17/2018 16:00:00,83,83.61,82.99,83.41,8403325
9/18/2018 16:00:00,83.9,84.13,83.45,83.63,9219890
9/19/2018 16:00:00,83.64,84.77,83.64,84.63,10413591
9/20/2018 16:00:00,84.86,85.34,84.54,84.82,11198171
9/21/2018 16:00:00,85.01,85.43,84.52,85.17,26639437
9/24/2018 16:00:00,85.79,87.09,85.72,86.6,13549454
9/25/2018 16:00:00,87.03,87.36,86.37,86.5,12200690
9/26/2018 16:00:00,86.02,86.5,85.69,85.78,10275498
9/27/2018 16:00:00,86.09,86.38,85.59,85.77,7895430
9/28/2018 16:00:00,85.25,85.93,84.99,85.02,9884941
10/1/2018 16:00:00,85.35,86.03,85.26,85.81,8568210
10/2/2018 16:00:00,85.8,86.67,85.62,86.46,8453138
10/3/2018 16:00:00,86.51,86.89,85.98,86.15,10206722
