Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,4.290000,4.290000,4.290000,4.290000,4.290000,0
2018-05-25,4.280000,4.280000,4.280000,4.280000,4.280000,0
2018-05-29,4.250000,4.250000,4.250000,4.250000,4.250000,0
2018-05-30,4.300000,4.300000,4.300000,4.300000,4.300000,0
2018-05-31,4.280000,4.280000,4.280000,4.280000,4.280000,0
2018-06-01,4.340000,4.340000,4.340000,4.340000,4.340000,0
2018-06-04,4.380000,4.380000,4.380000,4.380000,4.380000,0
2018-06-05,4.390000,4.390000,4.390000,4.390000,4.390000,0
2018-06-06,4.430000,4.430000,4.430000,4.430000,4.430000,0
2018-06-07,4.400000,4.400000,4.400000,4.400000,4.400000,0
2018-06-08,4.410000,4.410000,4.410000,4.410000,4.410000,0
2018-06-11,4.430000,4.430000,4.430000,4.430000,4.430000,0
2018-06-12,4.450000,4.450000,4.450000,4.450000,4.450000,0
2018-06-13,4.440000,4.440000,4.440000,4.440000,4.440000,0
2018-06-14,4.480000,4.480000,4.480000,4.480000,4.480000,0
2018-06-15,4.470000,4.470000,4.470000,4.470000,4.470000,0
2018-06-18,4.480000,4.480000,4.480000,4.480000,4.480000,0
2018-06-19,4.460000,4.460000,4.460000,4.460000,4.460000,0
2018-06-20,4.490000,4.490000,4.490000,4.490000,4.490000,0
2018-06-21,4.460000,4.460000,4.460000,4.460000,4.460000,0
2018-06-22,4.450000,4.450000,4.450000,4.450000,4.450000,0
2018-06-25,4.340000,4.340000,4.340000,4.340000,4.340000,0
2018-06-26,4.360000,4.360000,4.360000,4.360000,4.360000,0
2018-06-27,4.310000,4.310000,4.310000,4.310000,4.310000,0
2018-06-28,4.360000,4.360000,4.360000,4.360000,4.360000,0
2018-06-29,4.360000,4.360000,4.360000,4.360000,4.360000,0
2018-07-02,4.380000,4.380000,4.380000,4.380000,4.380000,0
2018-07-03,4.350000,4.350000,4.350000,4.350000,4.350000,0
2018-07-05,4.390000,4.390000,4.390000,4.390000,4.390000,0
2018-07-06,4.430000,4.430000,4.430000,4.430000,4.430000,0
2018-07-09,4.470000,4.470000,4.470000,4.470000,4.470000,0
2018-07-10,4.470000,4.470000,4.470000,4.470000,4.470000,0
2018-07-11,4.460000,4.460000,4.460000,4.460000,4.460000,0
2018-07-12,4.520000,4.520000,4.520000,4.520000,4.520000,0
2018-07-13,4.520000,4.520000,4.520000,4.520000,4.520000,0
2018-07-16,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-07-17,4.520000,4.520000,4.520000,4.520000,4.520000,0
2018-07-18,4.540000,4.540000,4.540000,4.540000,4.540000,0
2018-07-19,4.510000,4.510000,4.510000,4.510000,4.510000,0
2018-07-20,4.520000,4.520000,4.520000,4.520000,4.520000,0
2018-07-23,4.510000,4.510000,4.510000,4.510000,4.510000,0
2018-07-24,4.520000,4.520000,4.520000,4.520000,4.520000,0
2018-07-25,4.590000,4.590000,4.590000,4.590000,4.590000,0
2018-07-26,4.530000,4.530000,4.530000,4.530000,4.530000,0
2018-07-27,4.470000,4.470000,4.470000,4.470000,4.470000,0
2018-07-30,4.370000,4.370000,4.370000,4.370000,4.370000,0
2018-07-31,4.400000,4.400000,4.400000,4.400000,4.400000,0
2018-08-01,4.410000,4.410000,4.410000,4.410000,4.410000,0
2018-08-02,4.450000,4.450000,4.450000,4.450000,4.450000,0
2018-08-03,4.460000,4.460000,4.460000,4.460000,4.460000,0
2018-08-06,4.480000,4.480000,4.480000,4.480000,4.480000,0
2018-08-07,4.510000,4.510000,4.510000,4.510000,4.510000,0
2018-08-08,4.520000,4.520000,4.520000,4.520000,4.520000,0
2018-08-09,4.530000,4.530000,4.530000,4.530000,4.530000,0
2018-08-10,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-08-13,4.480000,4.480000,4.480000,4.480000,4.480000,0
2018-08-14,4.510000,4.510000,4.510000,4.510000,4.510000,0
2018-08-15,4.440000,4.440000,4.440000,4.440000,4.440000,0
2018-08-16,4.440000,4.440000,4.440000,4.440000,4.440000,0
2018-08-17,4.430000,4.430000,4.430000,4.430000,4.430000,0
2018-08-20,4.440000,4.440000,4.440000,4.440000,4.440000,0
2018-08-21,4.450000,4.450000,4.450000,4.450000,4.450000,0
2018-08-22,4.480000,4.480000,4.480000,4.480000,4.480000,0
2018-08-23,4.480000,4.480000,4.480000,4.480000,4.480000,0
2018-08-24,4.540000,4.540000,4.540000,4.540000,4.540000,0
2018-08-27,4.580000,4.580000,4.580000,4.580000,4.580000,0
2018-08-28,4.580000,4.580000,4.580000,4.580000,4.580000,0
2018-08-29,4.620000,4.620000,4.620000,4.620000,4.620000,0
2018-08-30,4.590000,4.590000,4.590000,4.590000,4.590000,0
2018-08-31,4.590000,4.590000,4.590000,4.590000,4.590000,0
2018-09-04,4.600000,4.600000,4.600000,4.600000,4.600000,0
2018-09-05,4.520000,4.520000,4.520000,4.520000,4.520000,0
