Date,Open,High,Low,Close,Volume
5/1/2018 16:00:00,39.03,39.63,38.95,39.57,120835
5/2/2018 16:00:00,39.49,39.96,39.14,39.55,162906
5/3/2018 16:00:00,39.27,39.45,38.57,39.29,216362
5/4/2018 16:00:00,38.96,40.11,38.92,39.91,117183
5/7/2018 16:00:00,40.19,41.12,40.19,40.95,246449
5/8/2018 16:00:00,40.84,41.29,40.7,41.29,220745
5/9/2018 16:00:00,41.43,42.38,41.36,42.34,277961
5/10/2018 16:00:00,42.59,43.02,42.5,42.67,283139
5/11/2018 16:00:00,42.63,42.9,42.43,42.88,214916
5/14/2018 16:00:00,42.99,43.6,42.79,42.95,262637
5/15/2018 16:00:00,42.65,42.81,42.32,42.73,264834
5/16/2018 16:00:00,42.67,43.26,42.56,43.07,205416
5/17/2018 16:00:00,42.97,43.46,42.8,43.13,276574
5/18/2018 16:00:00,43.07,43.14,42.57,42.62,225874
5/21/2018 16:00:00,43,43.18,42.48,42.74,298230
5/22/2018 16:00:00,43,43.09,42.7,42.87,242060
5/23/2018 16:00:00,42.65,43.34,42.5,43.34,407918
5/24/2018 16:00:00,43.28,43.5,42.99,43.25,275457
5/25/2018 16:00:00,43.25,43.41,43.09,43.19,183974
5/29/2018 16:00:00,43,43.31,42.59,43.07,197709
5/30/2018 16:00:00,43.19,43.75,43.19,43.67,387594
5/31/2018 16:00:00,43.53,43.94,43.12,43.48,249571
6/1/2018 16:00:00,43.84,44.06,43.57,43.77,304764
6/4/2018 16:00:00,44.02,44.55,43.72,44.51,473520
6/5/2018 16:00:00,44.68,45.15,44.65,45.09,274846
6/6/2018 16:00:00,45.26,45.92,45.26,45.87,492885
6/7/2018 16:00:00,46.02,46.18,45.09,45.43,444840
6/8/2018 16:00:00,45.19,45.77,45.11,45.7,247807
6/11/2018 16:00:00,45.84,46.31,45.52,45.78,374439
6/12/2018 16:00:00,46.05,46.62,46.05,46.17,434634
6/13/2018 16:00:00,46.32,46.8,46.17,46.4,436464
6/14/2018 16:00:00,46.71,47.28,46.58,47.27,510739
6/15/2018 16:00:00,47.05,47.33,46.75,47.28,321619
6/18/2018 16:00:00,46.91,47.85,46.85,47.85,438710
6/19/2018 16:00:00,47.23,47.48,46.3,47.42,749680
6/20/2018 16:00:00,47.83,48.42,47.81,48.37,590372
6/21/2018 16:00:00,48.37,48.57,47.06,47.22,697633
6/22/2018 16:00:00,47.45,47.45,46.47,46.61,430986
6/25/2018 16:00:00,46.22,46.38,45,45.29,677011
6/26/2018 16:00:00,45.51,45.95,45.05,45.77,519564
6/27/2018 16:00:00,46.02,46.18,44.45,44.45,560676
6/28/2018 16:00:00,44.45,45.05,44.05,44.97,255058
6/29/2018 16:00:00,45.3,45.4,44.97,44.98,317338
7/2/2018 16:00:00,44.78,45.6,44.57,45.6,279321
7/3/2018 13:00:00,45.84,45.9,45.14,45.15,139980
7/5/2018 16:00:00,45.53,45.78,45,45.77,235043
7/6/2018 16:00:00,45.85,46.79,45.69,46.7,302263
7/9/2018 16:00:00,47.25,47.3,46.54,47.17,566047
7/10/2018 16:00:00,47.35,47.36,46.7,46.96,371450
7/11/2018 16:00:00,46.43,47,46.05,46.92,213129
7/12/2018 16:00:00,47.27,47.76,47.12,47.75,321535
7/13/2018 16:00:00,47.83,47.95,47.26,47.74,327732
7/16/2018 16:00:00,47.75,47.75,46.81,46.94,293251
7/17/2018 16:00:00,46.63,47.6,46.33,47.45,247579
7/18/2018 16:00:00,47.51,47.51,46.79,47.31,231556
7/19/2018 16:00:00,47.18,47.64,46.92,47.53,350910
7/20/2018 16:00:00,47.56,47.69,47.27,47.27,196413
7/23/2018 16:00:00,47.15,47.37,46.61,47.11,211008
7/24/2018 16:00:00,47.51,47.62,45.57,45.88,501862
7/25/2018 16:00:00,45.85,46.86,45.85,46.86,345840
7/26/2018 16:00:00,46.54,46.89,46.13,46.5,257876
7/27/2018 16:00:00,46.49,46.49,44.36,44.72,504933
