Date,Open,High,Low,Close,Volume
5/24/2018 16:00:00,34.07,34.19,33.89,34,16625330
5/25/2018 16:00:00,33.93,34.03,33.67,33.8,14236565
5/29/2018 16:00:00,33.51,33.85,33.46,33.82,26735896
5/30/2018 16:00:00,34.06,34.34,34.01,34.15,27603229
5/31/2018 16:00:00,34.06,34.34,34.01,34.15,4242
6/1/2018 16:00:00,34.35,34.37,34.21,34.34,21200222
6/4/2018 16:00:00,34.49,34.63,34.32,34.53,18041056
6/5/2018 16:00:00,34.59,34.71,34.43,34.52,20375797
6/6/2018 16:00:00,34.48,34.64,34.28,34.46,18375821
6/7/2018 16:00:00,34.57,34.66,34.45,34.57,16208120
6/8/2018 16:00:00,34.61,34.77,34.53,34.74,15610786
6/11/2018 16:00:00,34.86,34.86,34.37,34.39,18506278
6/12/2018 16:00:00,34.47,34.48,34.24,34.39,15533095
6/13/2018 16:00:00,34.45,34.59,34.29,34.31,15207986
6/14/2018 16:00:00,34.31,34.47,34.15,34.26,18936803
6/15/2018 16:00:00,34.28,34.47,34.14,34.45,46638490
6/18/2018 16:00:00,34.23,34.31,33.85,34.26,22906545
6/19/2018 16:00:00,34,34.45,33.98,34.31,17537628
6/20/2018 16:00:00,34.38,34.65,34.3,34.54,20260245
6/21/2018 16:00:00,34.36,34.45,34.25,34.39,16027644
6/22/2018 16:00:00,34.57,34.71,34.48,34.59,26613610
6/25/2018 16:00:00,34.41,34.54,34.23,34.46,19378054
6/26/2018 16:00:00,34.48,34.66,34.39,34.46,24131903
6/27/2018 16:00:00,34.39,34.63,34.27,34.3,27890386
6/28/2018 16:00:00,34.21,34.56,34.21,34.45,15660460
6/29/2018 16:00:00,34.53,34.65,34.37,34.37,19934906
7/2/2018 16:00:00,34.1,34.45,34.1,34.42,13810581
7/3/2018 13:00:00,34.47,34.65,34.33,34.44,9115864
7/5/2018 16:00:00,34.62,34.97,34.59,34.93,19346445
7/6/2018 16:00:00,35.05,35.28,34.93,35.16,22547897
7/9/2018 16:00:00,35.31,35.5,35.06,35.2,21185382
7/10/2018 16:00:00,35.34,35.53,35.24,35.46,19216190
7/11/2018 16:00:00,35.29,35.44,35.2,35.25,16883598
7/12/2018 16:00:00,35.44,35.58,35.25,35.54,16105203
7/13/2018 16:00:00,35.53,35.61,35.26,35.55,14456705
7/16/2018 16:00:00,35.51,35.57,35.33,35.41,16972210
7/17/2018 16:00:00,35.49,35.78,35.48,35.67,14933586
7/18/2018 16:00:00,35.61,35.74,35.51,35.68,19737628
7/19/2018 16:00:00,35.48,35.62,35.35,35.39,15746527
